Avg_Area_Income,House_Age,Rooms,Bedrooms,Area_Population,Price,State
79545.45857,6,7,4,23086.8005,1059033.558,NE
79248.64245,6,7,3,40173.07217,1505890.915,CA
61287.06718,6,9,5,36882.1594,1058987.988,WI
63345.24005,7,6,3,34310.24283,1260616.807,AP
59982.19723,5,8,4,26354.10947,630943.4893,AE
80175.75416,5,6,4,26748.42842,1068138.074,KS
64698.46343,6,8,3,60828.24909,1502055.817,CO
78394.33928,7,7,2,36516.35897,1573936.564,TN
59927.66081,5,6,2,29387.396,798869.5328,AA
81885.92718,4,8,6,40149.96575,1545154.813,AE
80527.47208,8,5,4,47224.35984,1707045.722,NM
50593.6955,4,7,4,34343.99189,663732.3969,PW
39033.80924,8,7,3,39220.36147,1042814.098,NE
73163.66344,7,6,2,32326.12314,1291331.518,AR
69391.38018,5,8,4,35521.29403,1402818.21,AP
73091.86675,5,9,4,23929.52405,1306674.66,NM
79706.96306,5,8,3,39717.81358,1556786.6,HI
61929.07702,5,5,4,24595.9015,528485.2467,PW
63508.1943,6,7,5,35719.65305,1019425.937,AE
62085.2764,6,7,5,44922.1067,1030591.429,ME
86294.99909,7,8,4,47560.77534,2146925.34,HI
60835.08998,6,7,2,45574.74166,929247.5995,AP
64490.65027,4,5,4,40358.96011,718887.2315,TN
60697.35154,6,7,6,28140.96709,743999.8192,IN
59748.85549,5,8,4,27809.98654,895737.1334,MI
56974.47654,8,7,4,40694.86951,1453974.506,DE
82173.62608,4,7,2,38853.91807,1125692.507,AZ
64626.88098,5,7,4,27784.74228,975429.4928,MA
90499.05745,6,4,3,33970.16499,1240763.766,MN
59323.7921,7,8,4,37520.65773,1577017.76,AL
77811.52203,5,7,3,33754.7378,1246830.188,NY
68652.60921,6,6,4,39355.62573,1170720.894,NV
55041.35158,7,9,5,30122.47348,1071279.21,VA
50218.70846,6,7,6,16810.78331,534305.1323,ID
55909.3223,5,9,6,22355.23541,936368.9634,OK
74372.81021,6,7,2,39395.15118,1199193.831,NH
78667.9046,5,8,4,27637.65655,1233220.009,MO
78699.5151,6,7,3,22836.60757,1081150.125,WV
53128.18545,5,5,2,32947.71196,524712.7661,AP
17796.63119,5,7,3,47162.18364,302355.836,WY
58566.84936,7,5,2,39705.46496,1026817.4,MH
75537.79451,8,8,6,32778.19534,1762214.68,UT
46147.05306,7,8,4,27161.12861,882057.1706,WV
70421.47649,7,8,4,43183.92849,1744932.211,ID
62614.42062,5,7,6,26888.57956,1153871.47,SD
66394.87159,7,7,3,39741.07751,1499988.88,PW
73946.85107,5,8,6,35261.12702,1109588.38,NE
69144.74571,7,6,3,19030.61549,980177.3051,AP
77278.69703,6,7,2,21725.95429,1323952.027,CT
86754.19663,7,6,4,43017.44076,1662494.736,AK
74399.84098,6,7,6,41084.66282,1417819.74,WA
49408.19834,6,6,3,26881.1306,549976.1456,RI
62279.79005,6,6,4,35263.65314,1054770.981,NJ
73078.20409,6,6,3,54915.96178,1415647.553,PW
72942.70506,5,7,6,24377.90905,948788.2757,NM
63819.62285,6,8,4,27825.57206,1159596.519,NH
73265.44989,8,7,3,21030.96618,1547133.396,IN
68488.13117,6,7,5,18267.95471,1186688.506,KY
55193.85745,7,5,4,32537.81877,772111.9721,NC
77434.68924,6,5,3,36252.34068,1172730.156,IA
66158.88159,4,7,2,37098.74217,1111085.017,MN
60502.90933,8,6,4,33579.63151,1022781.171,VT
60910.89379,6,7,4,43347.804,1274474.546,AA
73931.97852,6,5,4,36543.06728,1213530.85,FM
59539.94845,6,7,5,58600.82715,1411730.477,KY
56547.50719,5,7,3,37585.27458,858685.5659,KS
65950.34702,5,7,3,40110.8476,1200961.821,WY
74533.16208,7,6,4,49481.56581,1520234.229,DE
66422.91905,7,7,6,31019.32482,1360908.32,AK
74334.49485,5,6,4,41640.43566,1360920.53,ND
63538.34616,5,7,3,43282.183,1146532.455,LA
83953.10484,7,7,3,37283.35765,1789098.521,KS
57279.06358,5,7,3,44023.79068,852099.464,DE
56553.55025,6,7,3,29682.40986,746096.7289,AP
75795.57598,6,7,6,33197.77774,1534479.907,KS
70848.78866,5,7,3,40458.73587,1215608.531,AA
59787.4045,6,7,3,32402.10755,941594.3284,NY
64826.37189,4,8,4,60286.0431,1204598.037,AP
65925.8538,8,7,3,34171.36007,1597655.258,CT
64419.25264,7,9,6,39318.17075,1492011.496,MN
58544.4603,9,7,4,30865.58695,1421216.504,WI
68791.79169,5,7,4,48423.32244,1132522.901,MP
82061.5652,4,6,4,36271.4085,1102821.438,CA
80659.52544,5,7,6,52947.03636,1856211.35,KY
66668.09352,6,8,3,47075.21223,1687998.933,AE
64721.5645,6,7,4,36115.81636,1063423.007,OR
65199.98994,6,7,3,28366.03543,1177289.886,OR
74579.98953,5,6,3,42806.14664,1173474.379,TX
76273.67033,8,5,3,46974.57879,1637259.999,ME
67561.94206,5,8,4,35517.54187,1238938.291,ID
48904.98327,5,5,3,32960.75307,201898.0866,DC
72145.96721,6,8,6,28882.90085,1439506.102,OR
70805.61068,4,6,3,29268.82674,585608.6326,PW
65383.33792,8,7,3,35114.40246,1294685.159,PR
95450.29309,7,7,3,39388.51552,2014851.344,MT
73698.69636,6,7,4,51815.09642,1840236.006,PW
66263.9105,6,7,4,49829.9515,1441421.913,UT
75394.75958,7,8,4,22268.07531,1498640.551,AS
65984.75064,7,6,2,21867.47694,954746.5764,SD
66477.26279,7,6,2,32458.9867,1124635.932,PR
69284.25964,5,7,3,40282.72428,1169944.248,OH
70404.4961,6,6,2,37127.9255,1114430.953,VA
74218.48902,8,7,4,46770.66097,1783534.839,PR
63441.71465,6,7,3,48061.75267,1302933.248,AP
57493.92457,7,7,4,47039.21532,1241483.612,NC
81543.77732,6,6,2,9816.300885,954114.544,AE
78633.97376,5,8,3,43728.80349,1555320.5,KS
52202.85372,5,4,2,42165.81246,404976.3659,MS
67980.38878,6,6,2,25909.0792,1073183.76,IL
78568.44916,5,6,2,41016.64709,1422195.879,NH
55472.65483,5,6,3,15353.95643,340605.2113,ME
67579.23479,6,8,6,21762.94969,1170959.526,MH
61456.1507,7,6,4,30821.41209,942838.1647,DE
60815.39039,7,8,4,31233.64935,1401613.92,NE
51217.18116,5,9,3,47089.47508,1175504.486,AE
63027.67471,5,6,2,35991.72064,608794.2467,VI
62484.8553,6,7,5,26882.65179,946943.0362,MS
73923.46627,7,7,6,58745.31203,1819900.637,CT
79737.60976,7,7,2,28307.31433,1463130.273,MN
63890.47157,5,8,5,43416.49782,1252391.18,NH
67310.03695,7,8,5,43310.61243,1714445.175,CA
73145.73022,4,7,3,49463.37888,1291759.393,GA
86924.35877,7,8,6,28719.41089,1809154.289,ID
74384.10563,7,5,2,17117.44367,1200539.361,OK
67477.78818,7,8,5,29763.92535,1300265.21,AA
71202.95692,4,7,4,34207.39721,997448.7281,PA
85845.3178,7,9,3,46477.67868,2152959.409,MT
72138.87048,7,8,5,35799.63827,1629983.847,MI
44806.00516,4,5,3,57390.89007,497579.4466,NV
67504.17846,5,6,4,37441.12054,890112.5493,MA
74706.10053,5,6,2,39680.60932,1064685.699,WA
68898.34591,7,8,6,39515.57156,1530124.016,RI
58118.01816,8,6,4,35598.39044,1246246.828,VT
77643.28309,6,5,4,35512.25505,1240754.932,KS
67769.82559,8,7,4,33254.60341,1760734.69,DC
74411.05989,6,7,6,43537.50295,1393746.76,NJ
73101.0788,4,9,4,29497.97129,1172385.898,MP
58708.41716,5,6,4,15969.92604,483986.109,CT
63876.05991,7,7,3,38052.87644,1388530.157,MD
68343.15409,6,8,6,40653.87007,1721739.384,VT
73064.97996,6,7,6,30699.33971,1276448.792,CO
67367.26808,7,7,2,32547.27253,1161742.677,NV
66547.18175,6,5,2,16741.96499,786407.9451,ID
73313.54538,6,8,4,37808.99667,1604920.973,RI
47681.36173,7,8,5,50908.97891,1230149.137,AP
67910.94913,6,7,4,31379.78297,1051644.554,WY
69277.89125,6,8,5,43717.91309,1415073.614,PA
